id,cltv
89393,98650.1147825161
89394,126670.74073187332
89395,100129.27697095802
89396,92961.87771185105
89397,152144.20038317572
89398,100701.31896037055
89399,49323.33330698903
89400,113946.57649697099
89401,49506.150750578476
89402,133670.32248119573
89403,130519.57763657665
89404,100129.27697095802
89405,51497.74142303077
89406,51771.99949233869
89407,51257.79748185823
89408,149238.99580755312
89409,123970.35947272333
89410,130786.92400074573
89411,123190.36997061774
89412,129030.90095861733
89413,133831.93180398486
89414,51233.246107375555
89415,48140.15930220841
89416,112921.64442234147
89417,146492.1581541149
89418,95716.84222083334
89419,51801.37497750891
89420,139793.5945889703
89421,147397.00926740115
89422,118714.00043808912
89423,143644.09020489518
89424,49849.970680818
89425,123970.35947272333
89426,131535.0909845538
89427,108159.33022031271
89428,117811.81383999932
89429,100129.27697095802
89430,54877.422904057945
89431,133670.32248119573
89432,116328.50826091849
89433,52416.041645489335
89434,50986.46874853962
89435,49780.69706107716
89436,114412.8683654095
89437,53656.72757387303
89438,138129.61406372045
89439,51233.246107375555
89440,132396.57762621393
89441,140137.86090586588
89442,60739.349351224504
89443,111227.90655592507
89444,69243.83784642181
89445,111406.57604137626
89446,92961.87771185105
89447,123377.98212583209
89448,131798.4230170519
89449,141738.604716077
89450,125634.33999797323
89451,120603.7931135166
89452,125647.16919686584
89453,123983.18867161594
89454,141858.59338032853
89455,112748.88784015959
89456,130852.56484228345
89457,114412.8683654095
89458,141080.5110189763
89459,118828.81007694372
89460,130125.77019675713
89461,110647.96513132137
89462,93194.47158919781
89463,116622.35772873291
89464,142033.0970279228
89465,124091.93976091553
89466,52497.0506024445
89467,122267.7736387665
89468,48653.93672398313
89469,97387.14166086834
89470,47318.628809037604
89471,150965.71504817737
89472,118286.33825398282
89473,129030.90095861733
89474,123115.59853754817
89475,121870.65576226346
89476,141096.84038128084
89477,56018.9452004492
89478,139896.61817592505
89479,125386.22896797761
89480,100129.27697095802
89481,51814.1926832664
89482,49102.16110274265
89483,108065.09312995548
89484,50912.46803703146
89485,123534.63628751336
89486,132006.3419559459
89487,121129.01007053578
89488,92974.70691074365
89489,50986.46874853962
89490,95286.21895203012
89491,106543.43978735
89492,94112.43816602025
89493,49811.0340888585
89494,51092.07885515557
89495,116328.50826091849
89496,110660.79433021398
89497,134014.5887980913
89498,114412.8683654095
89499,51670.311831636456
89500,120603.7931135166
89501,59867.000533081045
89502,48249.947076147306
89503,149533.4881193989
89504,149358.98447180464
89505,92961.87771185105
89506,51089.36525574561
89507,112761.7170390522
89508,93181.6423903052
89509,150965.71504817737
89510,53435.98001758861
89511,122267.7736387665
89512,142626.63243732188
89513,114674.85571659214
89514,137579.60205829912
89515,99105.10764333115
89516,49264.713916162684
89517,99792.32126907272
89518,53334.29235688638
89519,132663.7119791491
89520,54861.92492263253
89521,116609.5285298403
89522,51089.36525574561
89523,53435.98001758861
89524,53334.29235688638
89525,95704.01302194073
89526,56172.85971096525
89527,55872.16694717195
89528,102947.51179101807
89529,112761.7170390522
89530,130694.88148386724
89531,147707.14675579921
89532,48472.66960716365
89533,59945.405825515
89534,97387.14166086834
89535,116225.45049369622
89536,112761.7170390522
89537,124104.76895980813
89538,138473.88038061603
89539,155190.03536695708
89540,52751.02922132815
89541,123983.18867161594
89542,99648.90249688164
89543,52559.042861807015
89544,100142.10616985062
89545,51167.73586535911
89546,155670.1642181032
89547,95716.84222083334
89548,135493.69593520882
89549,100129.27697095802
89550,50343.45950203338
89551,105466.88133139633
89552,98028.3542621198
89553,130786.92400074573
89554,55148.71213763184
89555,51953.26660915818
89556,97397.51288901581
89557,112748.88784015959
89558,139485.379396922
89559,116609.5285298403
89560,49730.1649161121
89561,132350.6082728415
89562,132350.6082728415
89563,108801.13117855927
89564,138129.61406372045
89565,98072.35606224346
89566,124016.32882609575
89567,95704.01302194073
89568,130118.6170330589
89569,96822.13902628627
89570,132006.3419559459
89571,114561.46996844631
89572,54300.76972702369
89573,48653.93672398313
89574,51771.99949233869
89575,150162.09281560703
89576,132309.3976832574
89577,47426.29468109054
89578,95192.37379728646
89579,139896.61817592505
89580,125739.47774672825
89581,123983.18867161594
89582,48581.48633924493
89583,106328.49331372569
89584,95704.01302194073
89585,50512.117179066874
89586,51670.311831636456
89587,48224.94178853381
89588,48581.48633924493
89589,51056.34888866141
89590,131573.42532184033
89591,150621.4487312818
89592,106328.49331372569
89593,140547.71734748723
89594,103189.0426342023
89595,114425.6975643021
89596,93194.47158919781
89597,52818.056318593255
89598,108503.59653720833
89599,121790.30097164569
89600,114425.6975643021
89601,128686.63464172171
89602,150366.34490228596
89603,116609.5285298403
89604,132006.3419559459
89605,119938.70829118144
89606,146813.19107060556
89607,108003.19100889827
89608,123534.63628751336
89609,98330.89640885218
89610,103630.91394530157
89611,103025.85712328996
89612,150896.09422788926
89613,116622.35772873291
89614,51392.110578607295
